Starting Training Phase for Epoch 1/5
Epoch 1, Batch 8, Game ID: None, MSE Loss: 176.6378, Percentage Loss: 11.50%, Actual Scores: [117.0, 104.0], Predicted Scores: [99.69945526123047, 93.99686431884766]
Epoch 1, Batch 8, Game ID: None, MSE Loss: 176.6378, Percentage Loss: 11.50%, Actual Scores: [121.0, 108.0], Predicted Scores: [91.00843048095703, 90.9433822631836]
Epoch 1, Batch 8, Game ID: None, MSE Loss: 176.6378, Percentage Loss: 11.50%, Actual Scores: [96.0, 112.0], Predicted Scores: [97.14016723632812, 102.82319641113281]
Epoch 1, Batch 9, Game ID: None, MSE Loss: 316.1424, Percentage Loss: 11.92%, Actual Scores: [118.0, 112.0], Predicted Scores: [99.68753814697266, 99.56782531738281]
Epoch 1, Batch 9, Game ID: None, MSE Loss: 316.1424, Percentage Loss: 11.92%, Actual Scores: [106.0, 131.0], Predicted Scores: [93.544921875, 92.24361419677734]
Epoch 1, Batch 9, Game ID: None, MSE Loss: 316.1424, Percentage Loss: 11.92%, Actual Scores: [119.0, 114.0], Predicted Scores: [99.98283386230469, 97.01411437988281]
Epoch 1, Batch 9, Game ID: None, MSE Loss: 316.1424, Percentage Loss: 11.92%, Actual Scores: [123.0, 101.0], Predicted Scores: [107.71697998046875, 107.20001220703125]
Epoch 1, Batch 9, Game ID: None, MSE Loss: 316.1424, Percentage Loss: 11.92%, Actual Scores: [127.0, 131.0], Predicted Scores: [95.80216979980469, 96.30166625976562]
Epoch 1, Batch 9, Game ID: None, MSE Loss: 316.1424, Percentage Loss: 11.92%, Actual Scores: [103.0, 97.0], Predicted Scores: [102.08806610107422, 103.2226791381836]
Epoch 1, Batch 9, Game ID: None, MSE Loss: 316.1424, Percentage Loss: 11.92%, Actual Scores: [105.0, 109.0], Predicted Scores: [100.23524475097656, 102.29627990722656]
Epoch 1, Batch 9, Game ID: None, MSE Loss: 316.1424, Percentage Loss: 11.92%, Actual Scores: [131.0, 127.0], Predicted Scores: [107.20256042480469, 106.01496887207031]
Epoch 1, Batch 9, Game ID: None, MSE Loss: 316.1424, Percentage Loss: 11.92%, Actual Scores: [103.0, 122.0], Predicted Scores: [106.57893371582031, 101.62437438964844]
